,title,topic_idx
20081,정의장 국회법 상정 사과 요구에 누워서 침뱉는 얘기,6
603,심장병 어린이돕기 희망농구 올스타 2018 5월 13일 개최,5
12803,터키 러시아제 S400 미사일 구매 강행두고 美터키 공방 가열,4
17599,법제처 대통령 개헌안 심사완료…내일 국무회의 안건 상정,6
10241,유엔 北 재래식 무기로 전용가능 물자목록 첫 공개,4
42823,한국문협작가상에 임지훈·안은순·문육자·박예자,3
16336,회색 도시서 펼치는 서커스 판타지,3
44896,50돌 롯데…신격호가 빌린 5만엔이 매출 92조원으로 성장,1
15789,이주의 뉴스키워드 인권침해 정치보복 하이라이트,2
44762,우진플라임 267억 규모 사출성형기 판매 계약,1
34903,갤럭시S9 오늘 70개국 공식출시…월말까지 110개국 확대,0
2835,개성공단 출입경 원활…오늘 체류인원 248명종합,6
36621,구직 열기,2
8427,곤 前닛산차 회장 나는 결백…지금 일어나는 것은 모략,4
8553,아시안게임 단일팀 이문규 감독 12일 훈련했지만 서너...,5
35202,안희정 새 지도자로 우리가 일어나야…충청대망론 가세종합,6
22670,특징주 美연준 금리인하 시사에 증권주 강세,1
3082,서민금융진흥원한국증권금융 휴면예금 출연 협약,1
6433,中企·소상공인 설 지원자금 27조6천억원 투입,1
4055,베트남 英에 냉동 트럭 희생자 수습팀 파견,4
28777,문대통령 징용 손배 판결 존중 개인 청구권 소멸 아니라는 것,6
15351,야스쿠니 폭발음 사건 한국인 징역 4년 선고1보,4
8841,SK텔레콤 평창올림픽 대비 재난안전통신망 구축,0
23065,프로농구 SK 김선형 부상 134일만인 28일 복귀,5
42699,법원 광주교육청 사립유치원들 비위 처분 적법,2
23296,부산 범죄 취약지역에 70억원 들여 CCTV 확대 설치,2
19293,부안 마실축제 성황…관광객 45만명 몰려,3
26246,朴대통령 내일 출국…北압박외교로 올해 첫 순방,6
25938,대만계 배우 가오이샹 예능 촬영 중 실신해 사망,2
25149,데이터 선물·충전·관리 한 곳에서…LGU 전용 앱 출시,0
13897,美금융사 가상화폐 경계령…비자 CEO 거래처리 안할 것,4
1099,G20 송환법 철폐 관심 가져달라…홍콩 시민들 대규모 시위,4
43367,병상 부족에 상주로 이송된 대구 확진자,2
43098,폭염에 건강 지키려면…야외활동 말고 카페인 음료 자제,3
15226,로엔엔터 드라마시장 진출…도깨비 제작사와 공동 투자,1
25934,LG V30 오늘 IFA서 공개…카메라·오디오로 마음 뺏는다,1
21650,춘천 닭갈비·막국수축제 개막…전국 장사씨름대회도,3
26845,박항서로 하나 된 한국베트남 합동 응원전 우리는 하나,5
20159,내일날씨 오늘보다 더 추워요…서울 영하5도·대관령 영하9도,3
29857,덱스터 영화 탈출에 74억원 투자 조달,1
7393,이학주 등 삼성 선수 32명 11월 2일부터 오키나와 마...,5
32366,평양정상회담 연설하는 김정은,6
13369,고은 詩 교과서에서 빠질까…교육부 출판사·저작자에 수정권,2
36943,8월 과학기술인상에 박호석 성균관대 교수,0
17707,美텍사스서 열기구 화재후 추락…최소 16명 사망한 듯종합,4
17525,블랙홀의 그림자 관측 성공…블랙홀 연구에 새 장 열려,0
45529,올해 이달의 기능 한국인 사연 모은 수기집 발간,3
9209,세기의 대국 알파고 약점 찾았다…묘수 연타 날려라,5
38903,이건희 차명계좌 제재 불투명…동창회계좌 등도 피해 없을 듯,2
40434,리비아 통합정부 사흘 안에 총반격 개시,4
15436,中 환율을 무역분쟁 도구로 이용하지 않을 것,4
24612,김정숙 여사 이한열 열사 모친 등 유가협 회원 靑초청 오찬,6
4461,경기 북부권 8개 시·군 오존주의보 두시간만에 해제종합,3
20286,대구 바람 어디로…대통령 가까운 후보 vs 역량 있는 후보,6
83,한국당 가짜뉴스 규제는 개인미디어 통제…입법화 반기,6
19128,카카오 아동 콘텐츠 서비스 카카오키즈 출시,1
5610,IMF총재 브라질·러시아 올해 역성장…中 경착륙 피할 듯,4
10417,NBA 보스턴 종료 24초 전까지 6점 뒤지다가 대역전극,5
5562,아시안게임 김학범 박항서 감독께 죄송…끝까지 정신력 ...,5
10460,대통령 소환투표 어서 시행하라 베네수엘라서 대규모 시위,4
41875,서울옥션 25일 홍콩경매에 브라운·워홀 등 초고가 출품,1
31748,문 대통령김정은 MDL서 역사적 만남…반갑게 악수속보,6
304,EU 北 미사일 추가 발사 비판…추가 도발 안 돼,4
28057,비트코인 거품 사이클 막바지 금융경색 단계에 근접,1
19312,프로축구2부 성남 수원FC와 00 비겨…살얼음 선두 행진,5
619,말컹 멀티골 경남 대구에 극장골 허용…22 무승부종합,5
36561,문재인정부 포용국가 비전 전면에…국민 전생애 생활보장종합,6
36213,프로축구 대전 광주에 10 승리…승강 PO 진출,5
8295,삼성 갤럭시S10으로 우주에서 셀피 마케팅…손흥민도 참여,0
16004,김재원 여야·비주류 안가리고 경청해 문제 해결할 것,6
14209,류현진 내일 신인 포수 스미스와 첫 배터리 호흡,5
40325,英 뮤지션 두아 리파 한국서 내 노래 나와 짜릿해요,3
4787,떠나자 인천공항 휴가 인파로 북적…출발 여행객 10만9천명,3
4680,얘기 나누는 조명균 장관과 송영길 위원장,6
2441,北 김정은 직총 7차대회 참석자들과 기념사진,6
36769,서울교육청 저소득층 지원 교육복지우선사업에 내년 144억 투입,2
17557,하반기 증시 핵심 변수는 G2무역분쟁·美금리 향방,1
22768,디오 180억5천만원 규모 자사주 처분 결정,1
16112,문화소식 국립중앙박물관 야외정원 안내도 제작,3
3669,동국실업 이근활 단독 대표이사 체제로 변경,2
45251,충북 코로나19 검사 학생 이틀 연속 10명대 유지,2
8170,올가을 휴대전화 싸질까…통신비 인하 여파 주목,0
28402,행정부 멈췄는데…국회는 차기 권력 셈법만·위기리더십 실종,6
20141,경쟁은 나의 힘 생존경쟁 통해 성장하는 신태용호 수비진,5
26812,LG G6 출시 이틀 만에 3만대 판매…산뜻한 출발,1
39931,한진그룹 코로나19로 절체절명 위기…조원태 체제 필수,1
23633,월드컵 김영권 독일 키커 선정 3차전 베스트11…골키...,5
29736,국고채 금리 하락세…3년물 연 2.201%,1
32605,스마트폰 분실 막는 스마트 트래커,0
1881,연 100만원이면 해외 지재권 분쟁 걱정 끝,3
22029,北 김정은 집권 5년차에도 공포정치 이어간다,6
8494,안철수 대표직 사퇴 모든 책임 제가 져야…千 동반 퇴진종합,6
41991,그래픽 빅히트엔터테인먼트 공모주 청약 마감 결과,1
5281,MLB 보스턴 총격당한 오티스 위해 구단 비행기 보내,5
